date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:09	268/268	---M--	200	added ('OK')	image/png	etag:%2226f58-10c-52a72550ff185%22	https://bostonliteraryhistory.com/misc/draggable.png	C:/My%20Web%20Sites/testmirror/misc/draggable.png	(from https://bostonliteraryhistory.com/modules/system/system.base.css?o1vzsw)
11:41:09	130/130	---M--	200	added ('OK')	image/png	etag:%2226f08-82-52a72553f4e93%22	https://bostonliteraryhistory.com/misc/tree.png	C:/My%20Web%20Sites/testmirror/misc/tree.png	(from https://bostonliteraryhistory.com/modules/system/system.base.css?o1vzsw)
11:41:10	129/129	---M--	200	added ('OK')	image/png	etag:%2226f52-81-52a72553e9ae3%22	https://bostonliteraryhistory.com/misc/tree-bottom.png	C:/My%20Web%20Sites/testmirror/misc/tree-bottom.png	(from https://bostonliteraryhistory.com/modules/system/system.base.css?o1vzsw)
11:41:10	106/106	---M--	200	added ('OK')	image/png	etag:%2226f7a-6a-52a72551e1a89%22	https://bostonliteraryhistory.com/misc/menu-expanded.png	C:/My%20Web%20Sites/testmirror/misc/menu-expanded.png	(from https://bostonliteraryhistory.com/modules/system/system.menus.css?o1vzsw)
11:41:10	78601/78601	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.4.4/jquery.min.js	C:/My%20Web%20Sites/testmirror/ajax/libs/jquery/1.4.4/jquery.min.js	(from https://chapters.bc.edu/)
11:41:10	105/105	---M--	200	added ('OK')	image/png	etag:%2226f83-69-52a72551d4799%22	https://bostonliteraryhistory.com/misc/menu-collapsed.png	C:/My%20Web%20Sites/testmirror/misc/menu-collapsed.png	(from https://bostonliteraryhistory.com/modules/system/system.menus.css?o1vzsw)
11:41:10	126/126	---M--	200	added ('OK')	image/png	etag:%2226f7b-7e-52a72551f5ada%22	https://bostonliteraryhistory.com/misc/menu-leaf.png	C:/My%20Web%20Sites/testmirror/misc/menu-leaf.png	(from https://bostonliteraryhistory.com/modules/system/system.menus.css?o1vzsw)
11:41:11	1058/1058	---M--	200	added ('OK')	image/png	etag:%2226f61-422-52a725528441c%22	https://bostonliteraryhistory.com/misc/message-24-ok.png	C:/My%20Web%20Sites/testmirror/misc/message-24-ok.png	(from https://bostonliteraryhistory.com/modules/system/system.messages.css?o1vzsw)
11:41:11	753/753	---M--	200	added ('OK')	image/png	etag:%2226f59-2f1-52a7255298c3d%22	https://bostonliteraryhistory.com/misc/message-24-warning.png	C:/My%20Web%20Sites/testmirror/misc/message-24-warning.png	(from https://bostonliteraryhistory.com/modules/system/system.messages.css?o1vzsw)
11:41:11	733/733	---M--	200	added ('OK')	image/png	etag:%2226f09-2dd-52a7255248afb%22	https://bostonliteraryhistory.com/misc/message-24-error.png	C:/My%20Web%20Sites/testmirror/misc/message-24-error.png	(from https://bostonliteraryhistory.com/modules/system/system.messages.css?o1vzsw)
11:41:12	294/294	---M--	200	added ('OK')	image/png	etag:%2226f0d-126-52a7255168907%22	https://bostonliteraryhistory.com/misc/help.png	C:/My%20Web%20Sites/testmirror/misc/help.png	(from https://bostonliteraryhistory.com/modules/system/system.theme.css?o1vzsw)
11:41:12	5872/5872	---M--	200	added ('OK')	image/gif	etag:%2226f57-16f0-52a7255349090%22	https://bostonliteraryhistory.com/misc/progress.gif	C:/My%20Web%20Sites/testmirror/misc/progress.gif	(from https://bostonliteraryhistory.com/modules/system/system.theme.css?o1vzsw)
11:41:12	2196/2196	---M--	200	added ('OK')	image/gif	etag:%22631fb-894-52a725e5bce88%22	https://bostonliteraryhistory.com/sites/all/modules/ctools/images/status-active.gif	C:/My%20Web%20Sites/testmirror/sites/all/modules/ctools/images/status-active.gif	(from https://bostonliteraryhistory.com/sites/all/modules/ctools/css/ctools.css?o1vzsw)
11:41:13	1097/1097	---M--	200	added ('OK')	image/png	etag:%2262be4-449-4b6353f0386e2%22	https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/css/images/help.png	C:/My%20Web%20Sites/testmirror/sites/all/themes/adaptivetheme/adaptivetheme/css/images/help.png	(from https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/css/at.messages.css?o1vzsw)
11:41:13	442/442	---M--	200	added ('OK')	image/png	etag:%2262be8-1ba-4b6353f326950%22	https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/css/images/warning.png	C:/My%20Web%20Sites/testmirror/sites/all/themes/adaptivetheme/adaptivetheme/css/images/warning.png	(from https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/css/at.messages.css?o1vzsw)
11:41:15	962/962	---M--	200	added ('OK')	image/png	etag:%2262c65-3c2-4b63576e8da47%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/images/forum-default.png	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/images/forum-default.png	(from https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/tables.css?o1vzsw)
11:41:16	47100/47100	---M--	200	added ('OK')	text/plain	etag:%2262cc8-b7fc-4b763c201f1f6%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/fonts/ClarendonSerial.ttf	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/fonts/ClarendonSerial.ttf	(from https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/fonts.css?o1vzsw)
11:41:20	47180/47180	---M--	200	added ('OK')	text/plain	etag:%2262cc6-b84c-4b763c1a2f11d%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/fonts/ClarendonSerial-Medium.ttf	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/fonts/ClarendonSerial-Medium.ttf	(from https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/fonts.css?o1vzsw)
